,Company_Brand,Sector,Stage,Funding_Year,Amount($),HeadQuarter,Year_Founded,Sector_group
0,TheCollegeFever,Brand Marketing,Early Stage,2018,250000.0,Bangalore,Unknown,E-Commerce & Marketplace
1,Happy Cow Dairy,Agriculture,Early Stage,2018,584000.0,Mumbai,Unknown,Food & Agriculture
2,MyLoanCare,Credit,Series (A-H),2018,949000.0,Gurugram,Unknown,Finance & Banking
3,PayMe India,Financial Services,Angel and Grants,2018,2000000.0,Noida,Unknown,Consulting & Services
4,Eunimart,E-Commerce Platforms,Early Stage,2018,121526423.72,Hyderabad,Unknown,E-Commerce & Marketplace
5,Hasura,Cloud Infrastructure,Early Stage,2018,1600000.0,Bangalore,Unknown,Other
6,Tripshelf,Internet,Early Stage,2018,233600.0,Kalkaji,Unknown,Technology
7,Hyperdata.IO,Market Research,Angel and Grants,2018,730000.0,Hyderabad,Unknown,E-Commerce & Marketplace
8,Freightwalla,Information Services,Early Stage,2018,121526423.72,Mumbai,Unknown,Consulting & Services
9,Microchip Payments,Mobile Payments,Early Stage,2018,121526423.72,Bangalore,Unknown,Other
10,BizCrum Infotech Pvt. Ltd.,B2B,Early Stage,2018,121526423.72,Delhi,Unknown,Other
11,Emojifi,Internet,Early Stage,2018,121526423.72,Bangalore,Unknown,Technology
12,Flock,Apps,Early Stage,2018,121526423.72,India,Unknown,Other
13,Freshboxx,Food Delivery,Early Stage,2018,121526423.72,Hubli,Unknown,Food & Agriculture
14,Wide Mobility Mechatronics,Industrial Automation,Early Stage,2018,121526423.72,Bangalore,Unknown,Autommotive & Transportation
15,Pitstop,Automotive,Early Stage,2018,1460000.0,Bangalore,Unknown,Autommotive & Transportation
16,Mihuru,Finance,Early Stage,2018,150000.0,Mumbai,Unknown,Finance & Banking
17,Fyle,Accounting,Early Stage,2018,1100000.0,Bangalore,Unknown,Finance & Banking
18,AppWharf,Artificial Intelligence,Early Stage,2018,121526423.72,New Delhi,Unknown,Other
19,Antariksh Waste Ventures Pvt ltd,Internet of Things,Early Stage,2018,7300.0,Chennai,Unknown,Technology
20,Cogoport,Air Transportation,Series (A-H),2018,6000000.0,Mumbai,Unknown,Autommotive & Transportation
21,PaisaDukan,Financial Services,Early Stage,2018,650000.0,Mumbai,Unknown,Consulting & Services
22,Sleepy Owl Coffee,Food and Beverage,Early Stage,2018,511000.0,New Delhi,Unknown,Food & Agriculture
23,BlueJack,Autonomous Vehicles,Early Stage,2018,934400.0,Delhi,Unknown,Autommotive & Transportation
24,PregBuddy,Enterprise Software,Early Stage,2018,121526423.72,Bangalore,Unknown,Technology
25,AgNext Technologies,Agriculture,Series (A-H),2018,121526423.72,Mohali,Unknown,Food & Agriculture
26,Pando,Logistics,Early Stage,2018,2000000.0,Chennai,Unknown,Autommotive & Transportation
27,Mintifi,Financial Services,Early Stage,2018,2000000.0,Mumbai,Unknown,Consulting & Services
28,Carcrew,Automotive,Early Stage,2018,2000000.0,Mumbai,Unknown,Autommotive & Transportation
29,NicheAI,Artificial Intelligence,Angel and Grants,2018,121526423.72,Hyderabad,Unknown,Other
30,Chariot Tech,Internet of Things,Early Stage,2018,292000.0,New Delhi,Unknown,Technology
31,Ideal Insurance Brokers/ 121Policy.com,Insurance,Early Stage,2018,1000000.0,Kolkata,Unknown,Finance & Banking
32,Loanzen,Financial Services,Early Stage,2018,121526423.72,Bangalore,Unknown,Consulting & Services
33,Mojro Technologies,Information Technology,Early Stage,2018,650000.0,Bangalore,Unknown,Technology
34,Elemential,Blockchain,Early Stage,2018,1000000.0,Mumbai,Unknown,Other
35,Loadshare,Industrial Automation,Series (A-H),2018,5000000.0,Bangalore,Unknown,Autommotive & Transportation
36,Yumlane,Food and Beverage,Series (A-H),2018,4000000.0,Mumbai,Unknown,Food & Agriculture
37,Kriger Campus,Education,Early Stage,2018,438000.0,New Delhi,Unknown,Other
38,Pipa+Bella,E-Commerce,Series (A-H),2018,1000000.0,Mumbai,Unknown,E-Commerce & Marketplace
39,Kaleidofin,Financial Services,Early Stage,2018,2800000.0,Chennai,Unknown,Consulting & Services
40,Chakr Innovation,Renewable Energy,Early Stage,2018,121526423.72,New Delhi,Unknown,Other
41,IndigoLearn,E-Learning,Early Stage,2018,150000.0,Hyderabad,Unknown,Other
42,UClean,Clean Energy,Early Stage,2018,584000.0,India,Unknown,Other
43,Coutloot,E-Commerce,Early Stage,2018,1000000.0,Mumbai,Unknown,E-Commerce & Marketplace
44,Letstrack,Apps,Early Stage,2018,1700000.0,New Delhi,Unknown,Other
45,Pooltoo,Transportation,Early Stage,2018,121526423.72,New Delhi,Unknown,Autommotive & Transportation
46,Finzy,Financial Services,Early Stage,2018,1300000.0,Bangalore,Unknown,Consulting & Services
47,Fitternity,Fitness,Early Stage,2018,2000000.0,Mumbai,Unknown,Other
48,Keito,Artificial Intelligence,Early Stage,2018,121526423.72,Pune,Unknown,Other
49,Tolet for Students,Hospitality,Early Stage,2018,73000.0,Jodhpur,Unknown,Other
50,Chai Kings,Food and Beverage,Early Stage,2018,292000.0,Chennai,Unknown,Food & Agriculture
51,Dainik Jagran,Media and Entertainment,Early Stage,2018,584000.0,Kanpur,Unknown,Other
52,Playtoome,Broadcasting,Early Stage,2018,292000.0,Bangalore,Unknown,Other
53,ONGO Framework,B2B,Angel and Grants,2018,1000000.0,Hyderabad,Unknown,Other
54,Notesgen,EdTech,Early Stage,2018,182500.0,New Delhi,Unknown,Technology
55,Arogya MedTech,Health Care,Early Stage,2018,219000.0,Kolkata,Unknown,Healthcare
56,Propshop24,E-Commerce,Early Stage,2018,500000.0,Mumbai,Unknown,E-Commerce & Marketplace
57,myUpchar,Health Care,Series (A-H),2018,5000000.0,New Delhi,Unknown,Healthcare
58,MissMalini Entertainment,Unknown,Early Stage,2018,1518400.0,Mumbai,Unknown,Other
59,Rooter,Sports,Early Stage,2018,657000.0,India,Unknown,Other
60,ZestMoney,Big Data,Series (A-H),2018,13400000.0,Bangalore,Unknown,Other
61,alphaics Corporation,Cloud Computing,Early Stage,2018,121526423.72,Bangalore,Unknown,Other
62,MyDentistChoice,Health Care,Early Stage,2018,500000.0,Hyderabad,Unknown,Healthcare
63,Sattviko,Food Processing,Angel and Grants,2018,121526423.72,New Delhi,Unknown,Food & Agriculture
64,Sensibull,Trading Platform,Early Stage,2018,365000.0,Bangalore,Unknown,Other
65,Bombay Shaving Company,Consumer Goods,Series (A-H),2018,121526423.72,New Delhi,Unknown,Other
66,MedCords,Wellness,Early Stage,2018,385440.0,Pune,Unknown,Healthcare
67,University Living,Education,Early Stage,2018,121526423.72,New Delhi,Unknown,Other
68,&ME,Food and Beverage,Early Stage,2018,121526423.72,Bangalore,Unknown,Food & Agriculture
69,Enakshi,Fashion,Early Stage,2018,116800.0,Ahmedabad,Unknown,Other
70,Ultraviolette Automotive,Automotive,Series (A-H),2018,876.0,Bangalore,Unknown,Autommotive & Transportation
71,Inthree Access,Consulting,Series (A-H),2018,4000000.0,Chennai,Unknown,Consulting & Services
72,BUGWORKS Research India,Biotechnology,Series (A-H),2018,9000000.0,Bangalore,Unknown,Technology
73,Guardian.in,Health Care,Early Stage,2018,121526423.72,Mumbai,Unknown,Healthcare
74,PrestLoans,Credit,Early Stage,2018,100000.0,New Delhi,Unknown,Finance & Banking
75,Wimoxez,Internet,Early Stage,2018,20000.0,Hyderabad,Unknown,Technology
76,India Accelerator,Communities,Angel and Grants,2018,121526423.72,Gurugram,Unknown,Other
77,HappyEMI,Consumer,Early Stage,2018,1000000.0,Bangalore,Unknown,Other
78,Wishup,Consumer Applications,Early Stage,2018,121526423.72,Azadpur,Unknown,Other
79,Hansel.io,Mobile,Series (A-H),2018,4000000.0,Bangalore,Unknown,Other
80,Propelld,Education,Early Stage,2018,250000.0,Bangalore,Unknown,Other
81,PivotRoots,Advertising,Series (A-H),2018,121526423.72,Mumbai,Unknown,Other
82,ZiffyHomes,Marketplace,Early Stage,2018,120000.0,New Delhi,Unknown,E-Commerce & Marketplace
83,Carmesi,Health Care,Early Stage,2018,496400.0,Gurugram,Unknown,Healthcare
84,OckyPocky,E-Learning,Angel and Grants,2018,121526423.72,Haryana,Unknown,Other
85,Racetrack,Artificial Intelligence,Early Stage,2018,4993200.0,Bangalore,Unknown,Other
86,WHR,Health Care,Early Stage,2018,143145.0,Pune,Unknown,Healthcare
87,Asteria Aerospace,Aerospace,Early Stage,2018,121526423.72,Bangalore,Unknown,Other
88,FabAlley,E-Commerce,Series (A-H),2018,8760000.0,Noida,Unknown,E-Commerce & Marketplace
